sample,site,lat,long,pik,RR1,RR2,RR3,RR4,pop,S,group,species,Idnotes,micro_,
NSW1013346,S465_2017-05-28,-31.026152,153.025219,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28,,,Hat_Head,North_Coast,helianthi,,,
NSW1013396,S465_2017-05-28,-31.02575,153.025,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28,,,Hat_Head,North_Coast,helianthi,,,
NSW1009818,S82_2016-04-12,-32.642769,152.18852,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12,,,Hawks_Nest,Sydney_Coast,helianthi,,,
NSW1009843,S82_2016-04-12,-32.642504,152.1892,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12,,,Hawks_Nest,Sydney_Coast,helianthi,,,
NSW1009834,S82_2016-04-12,-32.642513,152.188906,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12,,,Hawks_Nest,Sydney_Coast,helianthi,,,
NSW1009828,S82_2016-04-12,-32.642613,152.189308,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12,,,Hawks_Nest,Sydney_Coast,helianthi,,,
NSW1008764,S82_2016-04-12,-32.642507,152.188998,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12,,,Hawks_Nest,Sydney_Coast,helianthi,,,
NSW1009823,S82_2016-04-12,-32.642807,152.188751,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12,,,Hawks_Nest,Sydney_Coast,helianthi,,,
NSW1008895,Heathcote_National_Park_2015-10-15,-34.18442,150.97971,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,,,Helensburgh,Sydney_Coast,helianthi,,,
NSW1008880,Heathcote_National_Park_2015-10-15,-34.18495,150.97943,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,,,Helensburgh,Sydney_Coast,helianthi,,,
