sample,S,site,lat,long,site,Date,Collector,micro site,,,
NSW1156909,Sassafrass,S2_3_21L,-35.0732,150.1983,S2_3_21L,2/03/2021,Lloyd Hughes,S_Bulked,,,
NSW1156907,Sassafrass,S2_3_21L,-35.0732,150.1983,S2_3_21L,2/03/2021,Lloyd Hughes,S_Bulked,,,
NSW1156864,Sassafrass,S2_3_21L,-35.0732,150.1983,S2_3_21L,2/03/2021,Lloyd Hughes,S_Bulked,,,
NSW1156926,Sassafrass,S2_3_21L,-35.0732,150.1983,S2_3_21L,2/03/2021,Lloyd Hughes,S_Bulked,,,
NSW1158518,Sassafrass,S2_3_21L,-35.0732,150.1983,S2_3_21L,2/03/2021,Lloyd Hughes,S_Bulked,,,
NSW1158540,Sassafrass,S2_3_21L,-35.0732,150.1983,S2_3_21L,2/03/2021,Lloyd Hughes,S_Bulked,,,
NSW1156897,Lithgow,L10_3_21L,-33.4442,150.1799,L10_3_21L,10/03/2021,Lloyd Hughes,L_Bulked,,,
NSW1156905,Lithgow,L10_3_21L,-33.4442,150.1799,L10_3_21L,10/03/2021,Lloyd Hughes,L_Bulked,,,
NSW1156942,Lithgow,L10_3_21L,-33.4442,150.1799,L10_3_21L,10/03/2021,Lloyd Hughes,L_Bulked,,,
NSW1156937,Lithgow,L10_3_21L,-33.4442,150.1799,L10_3_21L,10/03/2021,Lloyd Hughes,L_Bulked,,,
NSW1156925,Lithgow,L10_3_21L,-33.4442,150.1799,L10_3_21L,10/03/2021,Lloyd Hughes,L_Bulked,,,
NSW1156941,Lithgow,L10_3_21L,-33.4442,150.1799,L10_3_21L,10/03/2021,Lloyd Hughes,L_Bulked,,,
NSW1156868,Narrow Neck,Narrow Neck,-33.7327,150.2841,Narrow Neck,,Royal Botanic Gardens,BGNN,,,
NSW1156938,Narrow Neck,Narrow Neck,-33.7327,150.2841,Narrow Neck,,Royal Botanic Gardens,BGNN,,,compact growth
NSW1156943,Narrow Neck,Narrow Neck,-33.7327,150.2841,Narrow Neck,,Royal Botanic Gardens,BGNN,,,compact growth
NSW1156883,Narrow Neck,Narrow Neck,-33.7327,150.2841,Narrow Neck,,Royal Botanic Gardens,BGNN,,,
NSW1166680,Alpine NP Vic,Alpine NP Vic,-37.05833,148.0611,Alpine NP Vic,,The Royal Botanic Gardens Victoria,,,,check lat/long
NSW1166681,Alpine NP Vic,Alpine NP Vic,-37.05833,148.0611,Alpine NP Vic,,The Royal Botanic Gardens Victoria,,,,
NSW1166679,Alpine NP Vic,Alpine NP Vic,-37.0569,148.0588,Alpine NP Vic,,The Royal Botanic Gardens Victoria,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
