sample,site,lat,long,pik,RR1,RR2,RR3
NSW1020309,S180_2017-03-29,-35.109102,150.660288,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29
NSW1014815,S324_2016-11-10,-33.794653,150.403853,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10
NSW1020312,S180_2017-03-29,-35.109286,150.660371,popnInfo000953,S180_2017-03-29,S180_2017-03-29,S180_2017-03-29
NSW1009817,S46_2016-04-19,-33.526488,151.400263,popnInfo000682,S46_2016-04-19,S46_2016-04-19,S46_2016-04-19
NSW1021808,S303_2017-05-10,-31.014849,149.396227,popnInfo1468,S303_2017-05-10,S303_2017-05-10,S303_2017-05-10
NSW1008895,Heathcote_National_Park_2015-10-15,-34.18442,150.97971,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15
NSW1011102,S30_2016-03-18,-33.667013,150.543154,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18
NSW1009834,S82_2016-04-12,-32.642513,152.188906,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12
NSW1009055,S21_2016-03-14,-33.819266,151.299249,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14
NSW932969,S34_2015-09-17,-33.407437,150.942434,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17
NSW1017952,S459_2017-05-27,-29.177119,153.390729,popnInfo1636,S459_2017-05-27,S291_2017-05-09,
NSW1006912,S43_2015-10-16,-33.792562,151.145572,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16
NSW932698,Blue_Mountains_National_Park_2015-06-11,-33.578855,150.36647,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11
NSW1027020,S687_2017-08-18,-33.261756,150.643997,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18
NSW933230,Wollemi_National_Park_2015-11-10,-33.49154,150.49832,No_data,Wollemi_National_Park_2015-11-10,Wollemi_2015-10-qq,Wollemi_2015-10-qq
NSW1012290,S17_2016-07-21,-33.47542,150.777294,popnInfo000529,S17_2016-07-21,S17_2016-07-21,S17_2016-07-21
NSW1012316,S27_2016-03-18,-33.660812,150.614897,popnInfo001364,S27_2016-03-18,S27_2016-03-18,S27_2016-03-18
NSW1020485,S51_2016-12-16,-33.271453,150.590638,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16
NSW1006981,S43_2015-10-16,-33.792167,151.145446,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16
NSW1012291,S17_2016-07-21,-33.475536,150.77731,popnInfo000529,S17_2016-07-21,S17_2016-07-21,S17_2016-07-21
NSW1020747,S291_2017-05-09,-31.284612,148.979435,popnInfo1488,S291_2017-05-09,,
NSW932693,Blue_Mountains_National_Park_2015-06-11,-33.57886,150.36638,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11
NSW1020610,S138_2017-03-01,-32.801104,150.90338,popnInfo000999,S138_2017-03-01,S138_2017-03-01,S138_2017-03-01
NSW1008900,Heathcote_National_Park_2015-10-14,-34.18424,150.98,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14
NSW1009828,S82_2016-04-12,-32.642613,152.189308,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12
NSW1008880,Heathcote_National_Park_2015-10-15,-34.18495,150.97943,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15
NSW1012318,S27_2016-03-18,-33.661862,150.611507,popnInfo001364,S27_2016-03-18,S27_2016-03-18,S27_2016-03-18
NSW1010971,S37_2016-04-13,-33.595563,150.337349,popnInfo000380,S37_2016-04-13,S37_2016-04-13,S37_2016-04-13
NSW1008764,S82_2016-04-12,-32.642507,152.188998,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12
NSW1012330,S27_2016-03-18,-33.66073,150.615226,popnInfo001364,S27_2016-03-18,S27_2016-03-18,S27_2016-03-18
NSW1009050,S21_2016-03-14,-33.819087,151.29919,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14
NSW1008921,Heathcote_National_Park_2015-10-14,-33.16944,150.99333,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14
NSW1012490,S17_2016-07-21,-33.474914,150.776838,popnInfo000529,S17_2016-07-21,S17_2016-07-21,S17_2016-07-21
NSW1009010,S21_2016-03-14,-33.81882,151.299149,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14
NSW1010509,S244_2016-05-11,-34.037928,151.215155,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11
NSW1017182,S50_2016-08-18,-33.681878,151.152295,popnInfo000494,S50_2016-08-18,S50_2016-08-18,S50_2016-08-18
NSW1008890,Heathcote_National_Park_2015-10-15,-34.18438,150.97983,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15
NSW1021135,S249_2017-04-13,-33.400953,151.477753,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13
NSW1021705,S321_2017-05-10,-30.540808,149.667228,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10
NSW1015900,S232_2016-10-13,-33.542701,150.346044,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13
NSW1010524,S244_2016-05-11,-34.037469,151.215838,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11
NSW1027023,S687_2017-08-18,-33.261136,150.641339,popnInfo1831,S687_2017-08-18,S687_2017-08-18,S687_2017-08-18
NSW933200,S13_2016-07-23,-33.785033,150.612546,No_data,S13_2016-07-23,,
NSW1012570,S17_2016-07-21,-33.475163,150.776562,popnInfo000529,S17_2016-07-21,S17_2016-07-21,S17_2016-07-21
NSW932679,Blue_Mountains_National_Park_2015-06-11,-33.5798,150.36496,No_data,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11,Blue_Mountains_National_Park_2015-06-11
NSW1006707,S46_2015-11-11,-34.324677,150.473635,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11
NSW1019731,S159_2017-03-15,-33.196284,151.62138,popnInfo000978,S159_2017-03-15,S159_2017-03-15,S159_2017-03-15
NSW1012319,S27_2016-03-18,-33.660813,150.615524,popnInfo001364,S27_2016-03-18,S27_2016-03-18,S27_2016-03-18
NSW1015902,S232_2016-10-13,-33.54225,150.347496,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13
NSW1013391,S465_2017-05-28,-31.025579,153.025107,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28
NSW1009045,S21_2016-03-14,-33.819162,151.29919,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14
NSW1012031,S50_2016-08-18,-33.681839,151.152318,popnInfo000494,S50_2016-08-18,S50_2016-08-18,S50_2016-08-18
NSW1007643,Wooli_2015-11-10,-29.828001,153.27276,No_data,Wooli_2015-11-10,Wooli_2015-11-10,Wooli_2015-11-10
NSW1017202,S50_2016-08-18,-33.681972,151.15213,popnInfo000494,S50_2016-08-18,S50_2016-08-18,S50_2016-08-18
NSW1006855,Wollemi_National_Park_2015-10-17,-33.49128,150.49748,No_data,Wollemi_National_Park_2015-10-17,Wollemi_2015-10-qq,Wollemi_2015-10-qq
NSW1011117,S30_2016-03-18,-33.667453,150.543864,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18
NSW1013381,S465_2017-05-28,-31.025915,153.024951,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28
NSW1014630,S202_2016-04-16,-31.630078,152.826405,popnInfo000215,S202_2016-04-16,S202_2016-04-16,
NSW933199,S13_2016-07-23,-33.7851,150.612172,No_data,S13_2016-07-23,,
NSW1009860,Heathcote_National_Park_2016-03-18,-34.07519,151.00194,No_data,Heathcote_National_Park_2016-03-18,,
NSW1009859,Heathcote_National_Park_2016-03-18,-34.07525,151.00165,No_data,Heathcote_National_Park_2016-03-18,,
NSW1007431,Wooli_2015-11-10,-29.826948,153.272148,No_data,Wooli_2015-11-10,Wooli_2015-11-10,Wooli_2015-11-10
NSW1010993,S37_2016-04-13,-33.595848,150.337205,popnInfo000380,S37_2016-04-13,S37_2016-04-13,S37_2016-04-13
NSW1008926,Heathcote_National_Park_2015-10-14,-33.16936,150.99312,No_data,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14,Heathcote_National_Park_2015-10-14
NSW1013935,S324_2016-11-10,-33.794634,150.404106,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10
NSW1018129,S441_2017-05-27,-29.177207,153.390545,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27
NSW1010991,S37_2016-04-13,-33.595956,150.337199,popnInfo000380,S37_2016-04-13,S37_2016-04-13,S37_2016-04-13
NSW1020620,S138_2017-03-01,-32.800723,150.903139,popnInfo000999,S138_2017-03-01,S138_2017-03-01,S138_2017-03-01
NSW1014805,S324_2016-11-10,-33.794656,150.404349,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10
NSW1013346,S465_2017-05-28,-31.026152,153.025219,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28
NSW1021803,S303_2017-05-10,-31.01472,149.395969,popnInfo1468,S303_2017-05-10,S303_2017-05-10,S303_2017-05-10
NSW932964,S34_2015-09-17,-33.407544,150.94269,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17
NSW1007647,Wooli_2015-11-10,-29.82778,153.272781,No_data,Wooli_2015-11-10,Wooli_2015-11-10,Wooli_2015-11-10
NSW1011084,S30_2016-03-18,-33.667456,150.54388,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18
NSW1008885,Heathcote_National_Park_2015-10-15,-34.18463,150.97961,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15
NSW1020613,S138_2017-03-01,-32.80093,150.903159,popnInfo000999,S138_2017-03-01,S138_2017-03-01,S138_2017-03-01
NSW1020484,S51_2016-12-16,-33.271453,150.590638,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16
NSW1006714,S46_2015-11-11,-34.325154,150.474102,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11
NSW1021685,S321_2017-05-10,-30.541079,149.66776,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10
NSW1008870,Heathcote_National_Park_2015-10-15,-34.18506,150.97903,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15
NSW1014620,S202_2016-04-16,-31.630132,152.826541,popnInfo000215,S202_2016-04-16,S202_2016-04-16,
NSW1009855,Heathcote_National_Park_2016-03-18,-34.0753,151.00179,No_data,Heathcote_National_Park_2016-03-18,,
NSW1020614,S138_2017-03-01,-32.800916,150.903164,popnInfo000999,S138_2017-03-01,S138_2017-03-01,S138_2017-03-01
NSW1013922,S324_2016-11-10,-33.794601,150.40416,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10
NSW1020487,S51_2016-12-16,-33.271797,150.590247,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16
NSW1009084,S21_2016-03-14,-33.819078,151.299855,popnInfo000850,S21_2016-03-14,S21_2016-03-14,S21_2016-03-14
NSW1015903,S232_2016-10-13,-33.54234,150.347402,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13
NSW1013396,S465_2017-05-28,-31.02575,153.025,popnInfo1624,S465_2017-05-28,S465_2017-05-28,S465_2017-05-28
